0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
140,215,84,83,4,12,136,185,125,87,43,102,139,195,63,153,230,164,16,183,11,163,132,,
227,48,143,186,121,202,176,30,150,31,99,27,171,141,18,191,78,165,52,134,179,216,5,,
130,38,37,137,75,169,135,101,170,131,231,64,95,22,161,20,122,213,154,206,197,66,1,,
180,204,8,221,40,55,117,194,10,82,42,88,33,62,93,203,45,71,23,128,3,129,196,,
58,145,65,172,86,100,111,34,60,0,192,47,51,123,120,77,149,35,32,53,119,106,138,,
127,228,15,148,112,14,110,151,72,89,109,156,41,21,142,108,157,189,225,97,56,26,147,,
96,214,36,198,175,211,113,208,200,188,17,94,210,6,59,222,57,182,107,76,116,50,91,,
79,114,223,49,199,229,220,184,167,7,126,69,178,80,193,39,90,73,70,54,67,144,118,,
124,173,98,209,212,85,201,25,13,219,190,155,46,224,61,160,217,24,226,19,205,74,177,,
158,168,207,166,44,133,9,103,28,181,2,162,187,159,105,29,174,81,152,92,218,115,146,104.0,68.0
