0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
81,246,393,66,363,103,40,108,410,46,98,101,431,65,10,45,294,143,422,178,434,186,383,406,132,216,124,295,17,161,357,206,230,226,375,75,342,212,433,258,313,299,187,,,,,
432,193,238,167,163,171,228,256,389,404,315,130,253,309,127,151,109,208,18,358,412,21,146,325,247,114,2,199,266,287,237,251,190,269,370,215,179,74,390,209,396,398,420,,,,,
307,374,224,339,5,291,284,73,149,24,122,346,423,408,62,100,274,78,221,334,214,219,197,118,306,53,335,395,123,145,154,126,308,176,140,106,11,298,139,321,168,250,194,,,,,
356,102,350,337,399,382,6,239,115,29,367,371,282,152,52,159,415,210,236,173,191,49,86,232,91,414,316,89,362,51,257,421,84,112,205,41,76,304,39,359,366,25,252,,,,,
425,105,353,429,373,9,241,43,93,222,92,85,365,22,147,323,48,332,68,352,200,12,286,113,344,61,430,242,361,260,27,63,280,3,267,196,235,133,104,58,77,158,293,,,,,
379,387,47,405,174,169,99,1,386,15,338,391,409,180,116,244,183,23,369,201,407,164,121,7,38,90,418,188,347,166,320,254,50,181,170,87,302,360,312,182,263,327,231,,,,,
131,378,368,72,153,30,380,60,120,401,273,385,82,69,288,417,333,207,184,0,328,319,340,83,192,426,311,281,348,57,245,128,276,150,285,279,324,160,144,172,303,175,165,,,,,
331,13,185,177,341,19,384,262,156,96,290,198,94,202,283,402,8,117,56,317,268,203,4,217,329,419,148,107,411,44,155,34,110,271,377,336,240,229,277,71,97,189,195,,,,,
220,134,424,111,213,162,233,54,223,275,381,354,55,427,35,225,125,394,59,79,400,42,204,355,265,292,376,227,88,31,416,26,278,272,64,343,243,345,428,296,218,70,142,,,,,
289,301,80,397,95,157,234,314,135,67,20,297,318,372,403,351,264,300,16,305,392,364,349,33,255,248,249,141,259,136,32,138,37,330,129,326,28,211,310,270,261,14,413,137.0,36.0,119.0,388.0,322.0
